#this file has been interpolated to have an equally spaced grid																																
#this file has been interpolated to have an equally spaced grid																																
#first line contains number of data (alt, Tgas, ...) and of non-zero chemical species (H,CO2,...)																																
#alt in km, Tgas in K, chemical species in molecules/cm3																																
5 28																																
index	alt	dummy	Kzz	Tgas	N2	O2	O3	OH	O	CO2	CO	HO2	H2O	NO2	COS	CS2	CS	H	H2S	SH	S	SO	SO2	SO3	HSO	HSO2	HSO3	H2SO4	H2	N	DMS	SO4
40	40	2.54569 	4.20E+04	250 	9.43E+16	2.39E+16	9.25E+11	2.41E+07	6.23E+08	3.56E+13	5.23E+08	2.49E+07	3.50E+12	2.38E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
41	41	2.20919 	4.64E+04	253 	8.23E+16	2.22E+16	8.00E+11	2.49E+07	8.48E+08	3.31E+13	3.44E+08	2.28E+07	2.99E+12	1.78E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
42	42	1.92266 	5.19E+04	256 	7.19E+16	2.06E+16	6.90E+11	2.53E+07	1.18E+09	3.09E+13	3.08E+08	2.14E+07	2.55E+12	1.09E+08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
43	43	1.67906 	5.84E+04	259 	6.28E+16	1.92E+16	5.91E+11	2.49E+07	1.64E+09	2.89E+13	2.57E+08	2.02E+07	2.17E+12	7.14E+07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
44	44	1.47778 	6.45E+04	261 	5.49E+16	1.79E+16	4.94E+11	2.49E+07	2.20E+09	2.65E+13	2.31E+08	1.85E+07	1.89E+12	4.82E+07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
45	45	1.28924 	7.14E+04	264 	4.80E+16	1.67E+16	4.09E+11	2.41E+07	2.93E+09	2.49E+13	2.15E+08	1.79E+07	1.64E+12	2.93E+07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
46	46	1.12952 	7.99E+04	267 	4.19E+16	1.55E+16	3.35E+11	2.20E+07	3.80E+09	2.34E+13	1.93E+08	1.64E+07	1.43E+12	1.69E+07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
47	47	0.99113 	8.79E+04	268 	3.66E+16	1.41E+16	2.71E+11	2.07E+07	4.75E+09	2.10E+13	1.86E+08	1.59E+07	1.24E+12	9.78E+06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
48	48	0.87309 	9.69E+04	269 	3.20E+16	1.27E+16	2.14E+11	1.91E+07	5.71E+09	1.89E+13	1.86E+08	1.46E+07	1.07E+12	6.96E+06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
49	49	0.76272 	1.07E+05	271 	2.79E+16	1.16E+16	1.71E+11	1.80E+07	6.69E+09	1.75E+13	1.79E+08	1.37E+07	8.96E+11	3.91E+06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
50	50	0.66534 	1.18E+05	271 	2.44E+16	1.02E+16	1.33E+11	1.66E+07	7.62E+09	1.54E+13	1.73E+08	1.22E+07	7.41E+11	2.64E+06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
