#this file has been interpolated to have an equally spaced grid
#first line contains number of data (alt, Tgas, ...) and of non-zero chemical species (H,CO2,...)
#alt in km, Tgas in K, chemical species in ppbv
5 55
index	alt	dummy	Tgas	dummy	H2CO	O(3P)	H2O	OH	HO2	H2O2	O3	H	H2	CH4	CO	CH3OOH	CH3O2	N2O	NO	NO2	HNO2	HNO3	HO2NO2	NO3	N2O5	CL2O2	CH3CL	HOCL	CL	CLO	HCL	CLONO2	H2S	HS	SO	SO2	H2SO4	HSO	CH2_1	CH2_3	O(1D)	CH3	H3CO	HCO	N	NOCL	CLONO	CLO2	CL2	S	SO21	SO23	HSO3	SO3	S2	O2	CO2	N2	O
34	34.47813	5.91014	239.50569	0.0003	0.07978	0.67313	8450.34145	0.04186	0.10329	0.24097	8987.35773	0.0	342.44878	543.86342	11.0	0.00192	0.00084	48.90024	6.81009	9.33679	0.0061	2.91048	0.12608	0.00136	0.0115	0.0	0.0356	0.05034	0.00019	0.09365	0.20178	0.10349	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
35	35.49219	5.15162	241.38438	0.00026	0.08135	0.99356	8559.219	0.05479	0.1155	0.22854	8926.9372	0.0	325.54058	499.15926	11.0	0.00184	0.00095	40.97779	7.66489	9.04622	0.00664	2.27045	0.08757	0.00125	0.007	0.0	0.02915	0.05561	0.00026	0.11184	0.21154	0.07638	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
36	36.50625	4.44419	243.4125	0.00022	0.082	1.5185	8662.6875	0.07326	0.12848	0.20946	8790.8125	0.0	307.2875	453.54375	11.0	0.00173	0.00109	33.70062	8.58563	8.445	0.00717	1.71512	0.05668	0.00111	0.00385	0.0	0.02329	0.05881	0.00037	0.13192	0.21903	0.05157	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
37	37.52031	3.84544	245.44062	0.00019	0.08185	2.33014	8769.8279	0.09777	0.14086	0.18715	8578.3132	0.0	289.25473	412.40791	11.0	0.00161	0.00126	27.57642	9.49828	7.58969	0.00767	1.26959	0.03511	0.00094	0.00198	0.0	0.01852	0.05916	0.00051	0.15052	0.22388	0.03251	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
38	38.53438	3.34199	247.42615	0.00016	0.08102	3.54435	8859.17655	0.12952	0.15356	0.16553	8276.90164	1e-05	272.80391	374.54245	10.97869	0.0015	0.00145	22.68379	10.37046	6.57136	0.00811	0.92406	0.02099	0.00077	0.00095	0.0	0.0147	0.05662	0.00071	0.16556	0.22828	0.01915	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
39	39.54844	2.92359	249.29688	0.00014	0.07973	5.28188	8940.3908	0.16872	0.16493	0.14618	7892.8112	2e-05	258.7734	342.24992	10.91484	0.0014	0.00166	18.78046	11.11875	5.51781	0.00845	0.66575	0.01232	0.00061	0.00043	0.0	0.01172	0.05201	0.00096	0.17574	0.23434	0.01074	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
40	40.5625	2.54475	251.325	0.00012	0.07778	8.17513	9011.375	0.22291	0.1786	0.12772	7352.5	5e-05	243.8875	310.2875	11.0	0.00131	0.00194	15.345	11.8975	4.35125	0.0086	0.44754	0.00669	0.00045	0.00017	0.0	0.0092	0.045	0.00135	0.17968	0.24428	0.00527	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
41	41.57656	2.2088	253.52968	0.0001	0.07496	12.5417	9082.3592	0.28601	0.195	0.11423	6733.4704	0.00012	230.88128	281.76256	11.03531	0.00125	0.00225	12.59391	12.45297	3.26403	0.00839	0.28481	0.00351	0.00032	6e-05	0.0	0.00719	0.03687	0.00189	0.17623	0.25971	0.00235	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
42	42.59063	1.92234	256.38126	9e-05	0.07114	18.92504	9149.5315	0.35534	0.21243	0.10465	6066.0905	0.00026	219.28433	257.80614	11.27625	0.00123	0.00258	10.35687	12.71906	2.35084	0.00777	0.17113	0.00181	0.00022	2e-05	0.0	0.00565	0.02879	0.00261	0.16514	0.28158	0.00096	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
43	43.60469	1.67906	258.37216	8e-05	0.06651	27.35386	9197.44327	0.42428	0.23054	0.0979	5424.62927	0.00051	210.51135	236.65053	11.67443	0.00122	0.0029	8.6246	12.78139	1.65952	0.00686	0.09914	0.00094	0.00014	1e-05	0.0	0.0045	0.02166	0.00345	0.14928	0.30584	0.00038	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
