0 Branching ratio for H2O       Total        1 branches
Lambda          Total           OH/H              H2/O
1616.06   4.26E-18  4.26E-18  0.00E+00
1617.06   4.27E-18  4.27E-18  0.00E+00
1618.06   4.30E-18  4.30E-18  0.00E+00
1619.06   4.31E-18  4.31E-18  0.00E+00
1620.06   4.34E-18  4.34E-18  0.00E+00
1621.06   4.37E-18  4.37E-18  0.00E+00
1622.06   4.38E-18  4.38E-18  0.00E+00
1623.06   4.40E-18  4.40E-18  0.00E+00
1624.06   4.43E-18  4.43E-18  0.00E+00
1625.06   4.45E-18  4.45E-18  0.00E+00
1626.06   4.48E-18  4.48E-18  0.00E+00
1627.06   4.50E-18  4.50E-18  0.00E+00
1628.06   4.53E-18  4.53E-18  0.00E+00
1629.06   4.54E-18  4.54E-18  0.00E+00
1630.06   4.57E-18  4.57E-18  0.00E+00
1631.06   4.59E-18  4.59E-18  0.00E+00
1632.06   4.60E-18  4.60E-18  0.00E+00
1633.06   4.63E-18  4.63E-18  0.00E+00
1634.06   4.66E-18  4.66E-18  0.00E+00
1635.06   4.70E-18  4.70E-18  0.00E+00
1636.06   4.73E-18  4.73E-18  0.00E+00
1637.06   4.74E-18  4.74E-18  0.00E+00
1638.06   4.75E-18  4.75E-18  0.00E+00
1639.06   4.78E-18  4.78E-18  0.00E+00
1640.06   4.80E-18  4.80E-18  0.00E+00
1641.06   4.83E-18  4.83E-18  0.00E+00
1642.07   4.84E-18  4.84E-18  0.00E+00
1643.07   4.86E-18  4.86E-18  0.00E+00
1644.07   4.88E-18  4.88E-18  0.00E+00
1645.07   4.91E-18  4.91E-18  0.00E+00
1646.07   4.93E-18  4.93E-18  0.00E+00
1647.07   4.95E-18  4.95E-18  0.00E+00
1648.07   4.97E-18  4.97E-18  0.00E+00
1649.07   4.98E-18  4.98E-18  0.00E+00
1650.07   4.99E-18  4.99E-18  0.00E+00
1651.07   5.00E-18  5.00E-18  0.00E+00
1652.07   5.02E-18  5.02E-18  0.00E+00
1653.07   5.02E-18  5.02E-18  0.00E+00
1654.07   5.04E-18  5.04E-18  0.00E+00
1655.07   5.05E-18  5.05E-18  0.00E+00
1656.07   5.06E-18  5.06E-18  0.00E+00
1657.07   5.06E-18  5.06E-18  0.00E+00
1658.07   5.08E-18  5.08E-18  0.00E+00
1659.07   5.08E-18  5.08E-18  0.00E+00
1660.07   5.11E-18  5.11E-18  0.00E+00
1661.07   5.12E-18  5.12E-18  0.00E+00
1662.07   5.10E-18  5.10E-18  0.00E+00
1663.07   5.13E-18  5.13E-18  0.00E+00
1664.07   5.12E-18  5.12E-18  0.00E+00
1665.07   5.11E-18  5.11E-18  0.00E+00
1666.07   5.12E-18  5.12E-18  0.00E+00
1667.07   5.11E-18  5.11E-18  0.00E+00
1668.07   5.10E-18  5.10E-18  0.00E+00
1669.07   5.12E-18  5.12E-18  0.00E+00
1670.07   5.11E-18  5.11E-18  0.00E+00
1671.07   5.11E-18  5.11E-18  0.00E+00
1672.07   5.11E-18  5.11E-18  0.00E+00
1673.07   5.09E-18  5.09E-18  0.00E+00
1674.07   5.09E-18  5.09E-18  0.00E+00
1675.07   5.10E-18  5.10E-18  0.00E+00
1676.07   5.11E-18  5.11E-18  0.00E+00
1677.07   5.09E-18  5.09E-18  0.00E+00
1678.07   5.08E-18  5.08E-18  0.00E+00
1679.07   5.07E-18  5.07E-18  0.00E+00
1680.07   5.08E-18  5.08E-18  0.00E+00
1681.07   5.08E-18  5.08E-18  0.00E+00
1682.07   5.07E-18  5.07E-18  0.00E+00
1683.07   5.06E-18  5.06E-18  0.00E+00
1684.07   5.07E-18  5.07E-18  0.00E+00
1685.07   5.05E-18  5.05E-18  0.00E+00
1686.07   5.04E-18  5.04E-18  0.00E+00
1687.07   5.04E-18  5.04E-18  0.00E+00
1688.07   5.03E-18  5.03E-18  0.00E+00
1689.07   5.02E-18  5.02E-18  0.00E+00
1690.07   5.03E-18  5.03E-18  0.00E+00
1691.07   5.01E-18  5.01E-18  0.00E+00
1692.07   5.00E-18  5.00E-18  0.00E+00
1693.07   5.00E-18  5.00E-18  0.00E+00
1694.07   4.99E-18  4.99E-18  0.00E+00
1695.07   4.97E-18  4.97E-18  0.00E+00
1696.07   4.96E-18  4.96E-18  0.00E+00
1697.07   4.96E-18  4.96E-18  0.00E+00
1698.07   4.95E-18  4.95E-18  0.00E+00
1699.07   4.94E-18  4.94E-18  0.00E+00
1700.07   4.93E-18  4.93E-18  0.00E+00
1701.07   4.91E-18  4.91E-18  0.00E+00
1702.07   4.90E-18  4.90E-18  0.00E+00
1703.07   4.90E-18  4.90E-18  0.00E+00
1704.07   4.85E-18  4.85E-18  0.00E+00
1705.07   4.83E-18  4.83E-18  0.00E+00
1706.07   4.82E-18  4.82E-18  0.00E+00
1707.07   4.79E-18  4.79E-18  0.00E+00
1708.07   4.77E-18  4.77E-18  0.00E+00
1709.07   4.74E-18  4.74E-18  0.00E+00
1710.08   4.70E-18  4.70E-18  0.00E+00
1711.08   4.67E-18  4.67E-18  0.00E+00
1712.08   4.65E-18  4.65E-18  0.00E+00
1713.08   4.60E-18  4.60E-18  0.00E+00
1714.08   4.58E-18  4.58E-18  0.00E+00
1715.08   4.54E-18  4.54E-18  0.00E+00
1716.08   4.51E-18  4.51E-18  0.00E+00
1717.08   4.47E-18  4.47E-18  0.00E+00
1718.08   4.43E-18  4.43E-18  0.00E+00
1719.08   4.39E-18  4.39E-18  0.00E+00
1720.08   4.36E-18  4.36E-18  0.00E+00
1721.08   4.32E-18  4.32E-18  0.00E+00
1722.08   4.26E-18  4.26E-18  0.00E+00
1723.08   4.22E-18  4.22E-18  0.00E+00
1724.08   4.19E-18  4.19E-18  0.00E+00
1725.08   4.16E-18  4.16E-18  0.00E+00
1726.08   4.11E-18  4.11E-18  0.00E+00
1727.08   4.08E-18  4.08E-18  0.00E+00
1728.08   4.04E-18  4.04E-18  0.00E+00
1729.08   3.98E-18  3.98E-18  0.00E+00
1730.08   3.94E-18  3.94E-18  0.00E+00
1731.08   3.89E-18  3.89E-18  0.00E+00
