0          References for Cross Section of NO        Total   
Cross section:                                                                  
Lambda = 1.-180. A                                                              
   Cross section synthesized from the atomic cross section of N and O           
Lambda = 180.-580. A                                                            
   Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
   J. Quant. Spectr. Rad. Trans. 13, 1023                                       
Lambda = 580.-1350. A                                                           
   Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
   Appl. Opt. 6, 391                                                            
Lambda = 1350.-1910. A                                                          
   Marmo, F. F. (1953)                                                          
   J. Opt. Soc. Am. 43, 1186                                                    
  749.0 2.01E-17 1.27E-17 0.00E+00 0.00E+00 7.38E-18
  749.4 1.71E-17 9.41E-18 0.00E+00 0.00E+00 7.69E-18
  749.7 1.64E-17 9.18E-18 0.00E+00 0.00E+00 7.22E-18
  750.0 1.56E-17 8.89E-18 0.00E+00 0.00E+00 6.71E-18
  750.5 2.16E-17 1.10E-17 0.00E+00 0.00E+00 1.06E-17
  750.8 2.05E-17 9.63E-18 0.00E+00 0.00E+00 1.09E-17
  751.1 2.08E-17 1.07E-17 0.00E+00 0.00E+00 1.01E-17
  751.9 1.53E-17 9.79E-18 0.00E+00 0.00E+00 5.51E-18
  752.3 1.94E-17 1.19E-17 0.00E+00 0.00E+00 7.50E-18
  752.8 1.90E-17 1.10E-17 0.00E+00 0.00E+00 7.98E-18
  753.2 1.67E-17 9.85E-18 0.00E+00 0.00E+00 6.85E-18
  753.5 1.79E-17 1.10E-17 0.00E+00 0.00E+00 6.86E-18
  754.1 1.18E-17 7.91E-18 0.00E+00 0.00E+00 3.89E-18
  754.6 1.90E-17 1.16E-17 0.00E+00 0.00E+00 7.41E-18
  755.3 1.41E-17 8.32E-18 0.00E+00 0.00E+00 5.78E-18
  755.9 2.61E-17 1.12E-17 0.00E+00 0.00E+00 1.49E-17
  756.9 1.41E-17 6.91E-18 0.00E+00 0.00E+00 7.19E-18
  757.1 1.41E-17 6.77E-18 0.00E+00 0.00E+00 7.33E-18
  757.4 1.38E-17 7.59E-18 0.00E+00 0.00E+00 6.21E-18
  757.9 2.64E-17 1.45E-17 0.00E+00 0.00E+00 1.19E-17
  758.4 1.45E-17 8.41E-18 0.00E+00 0.00E+00 6.09E-18
  758.7 1.38E-17 7.31E-18 0.00E+00 0.00E+00 6.49E-18
  759.2 1.19E-17 7.14E-18 0.00E+00 0.00E+00 4.76E-18
  759.5 1.41E-17 7.76E-18 0.00E+00 0.00E+00 6.34E-18
  759.9 1.38E-17 8.56E-18 0.00E+00 0.00E+00 5.24E-18
  760.5 3.28E-17 1.87E-17 0.00E+00 0.00E+00 1.41E-17
  761.2 1.27E-17 8.51E-18 0.00E+00 0.00E+00 4.19E-18
  761.5 1.45E-17 9.43E-18 0.00E+00 0.00E+00 5.08E-18
  761.8 1.19E-17 7.74E-18 0.00E+00 0.00E+00 4.16E-18
  762.4 1.38E-17 7.45E-18 0.00E+00 0.00E+00 6.35E-18
  762.7 1.38E-17 7.45E-18 0.00E+00 0.00E+00 6.35E-18
  763.3 1.30E-17 6.24E-18 0.00E+00 0.00E+00 6.76E-18
  763.9 1.41E-17 8.18E-18 0.00E+00 0.00E+00 5.92E-18
  764.6 4.24E-17 2.29E-17 0.00E+00 0.00E+00 1.95E-17
  765.2 1.49E-17 8.49E-18 0.00E+00 0.00E+00 6.41E-18
  765.5 1.86E-17 9.11E-18 0.00E+00 0.00E+00 9.49E-18
  766.0 1.49E-17 8.19E-18 0.00E+00 0.00E+00 6.70E-18
  766.3 1.56E-17 8.27E-18 0.00E+00 0.00E+00 7.33E-18
  766.6 1.15E-17 7.36E-18 0.00E+00 0.00E+00 4.14E-18
  766.9 1.19E-17 7.26E-18 0.00E+00 0.00E+00 4.64E-18
  767.3 1.06E-17 7.31E-18 0.00E+00 0.00E+00 3.29E-18
  767.6 1.05E-17 6.93E-18 0.00E+00 0.00E+00 3.57E-18
  768.4 8.90E-18 6.50E-18 0.00E+00 0.00E+00 2.40E-18
  768.7 1.06E-17 7.26E-18 0.00E+00 0.00E+00 3.34E-18
  769.2 9.68E-18 5.90E-18 0.00E+00 0.00E+00 3.78E-18
  770.2 1.86E-17 1.04E-17 0.00E+00 0.00E+00 8.18E-18
  770.6 1.47E-17 8.38E-18 0.00E+00 0.00E+00 6.32E-18
  771.3 7.03E-17 3.87E-17 0.00E+00 0.00E+00 3.16E-17
  772.1 1.32E-17 8.05E-18 0.00E+00 0.00E+00 5.15E-18
  772.4 1.56E-17 6.71E-18 0.00E+00 0.00E+00 8.89E-18
  772.7 1.32E-17 7.52E-18 0.00E+00 0.00E+00 5.68E-18
