0 Branching ratio for NO2      Total        1 branches
Lambda        Total        NO/O
1709.07   6.74E-18  6.74E-18
1710.08   6.74E-18  6.74E-18
1711.08   6.74E-18  6.74E-18
1712.08   6.74E-18  6.74E-18
1713.08   6.74E-18  6.74E-18
1714.08   6.74E-18  6.74E-18
1715.08   6.74E-18  6.74E-18
1716.08   6.74E-18  6.74E-18
1717.08   6.74E-18  6.74E-18
1718.08   6.74E-18  6.74E-18
1719.08   6.75E-18  6.75E-18
1720.08   6.75E-18  6.75E-18
1721.08   6.75E-18  6.75E-18
1722.08   6.75E-18  6.75E-18
1723.08   6.75E-18  6.75E-18
1724.08   6.75E-18  6.75E-18
1725.08   6.75E-18  6.75E-18
1726.08   6.75E-18  6.75E-18
1727.08   6.75E-18  6.75E-18
1728.08   6.76E-18  6.76E-18
1729.08   6.76E-18  6.76E-18
1730.08   6.76E-18  6.76E-18
1731.08   6.76E-18  6.76E-18
1732.08   6.76E-18  6.76E-18
1733.08   6.76E-18  6.76E-18
1734.08   6.76E-18  6.76E-18
1735.08   6.76E-18  6.76E-18
1736.08   6.76E-18  6.76E-18
1737.08   6.76E-18  6.76E-18
1738.08   6.77E-18  6.77E-18
1739.08   6.77E-18  6.77E-18
1740.08   6.77E-18  6.77E-18
1741.08   6.77E-18  6.77E-18
1742.08   6.77E-18  6.77E-18
1743.08   6.77E-18  6.77E-18
1744.08   6.77E-18  6.77E-18
1745.08   6.77E-18  6.77E-18
1746.08   6.77E-18  6.77E-18
1747.08   6.77E-18  6.77E-18
1748.08   6.78E-18  6.78E-18
1749.08   6.78E-18  6.78E-18
1750.08   6.78E-18  6.78E-18
1751.08   6.78E-18  6.78E-18
1752.08   6.78E-18  6.78E-18
1753.08   6.78E-18  6.78E-18
1754.08   6.78E-18  6.78E-18
1755.08   6.78E-18  6.78E-18
1756.08   6.78E-18  6.78E-18
1757.08   6.79E-18  6.79E-18
1758.08   6.79E-18  6.79E-18
1759.08   6.79E-18  6.79E-18
1760.08   6.79E-18  6.79E-18
1761.08   6.79E-18  6.79E-18
1762.08   6.79E-18  6.79E-18
1763.08   6.79E-18  6.79E-18
1764.08   6.79E-18  6.79E-18
1765.08   6.79E-18  6.79E-18
1766.08   6.79E-18  6.79E-18
1767.08   6.80E-18  6.80E-18
1768.08   6.80E-18  6.80E-18
1769.08   6.80E-18  6.80E-18
1770.08   6.80E-18  6.80E-18
1771.08   6.80E-18  6.80E-18
1772.08   6.80E-18  6.80E-18
1773.08   6.80E-18  6.80E-18
1774.08   6.80E-18  6.80E-18
1775.08   6.80E-18  6.80E-18
1776.08   6.81E-18  6.81E-18
1777.08   6.81E-18  6.81E-18
1778.09   6.81E-18  6.81E-18
1779.09   6.81E-18  6.81E-18
1780.09   6.81E-18  6.81E-18
1781.09   6.81E-18  6.81E-18
1782.09   6.81E-18  6.81E-18
1783.09   6.81E-18  6.81E-18
1784.09   6.81E-18  6.81E-18
1785.09   6.81E-18  6.81E-18
1786.09   6.82E-18  6.82E-18
1787.09   6.82E-18  6.82E-18
1788.09   6.82E-18  6.82E-18
1789.09   6.82E-18  6.82E-18
1790.09   6.82E-18  6.82E-18
1791.09   6.82E-18  6.82E-18
1792.09   6.82E-18  6.82E-18
1793.09   6.82E-18  6.82E-18
1794.09   6.82E-18  6.82E-18
1795.09   6.82E-18  6.82E-18
1796.09   6.83E-18  6.83E-18
1797.09   6.83E-18  6.83E-18
1798.09   6.83E-18  6.83E-18
1799.09   6.83E-18  6.83E-18
1800.09   6.83E-18  6.83E-18
1801.09   6.83E-18  6.83E-18
1802.09   6.83E-18  6.83E-18
1803.09   6.83E-18  6.83E-18
1804.09   6.83E-18  6.83E-18
1805.09   6.84E-18  6.84E-18
1806.09   6.84E-18  6.84E-18
1807.09   6.84E-18  6.84E-18
1808.09   6.84E-18  6.84E-18
1809.09   6.84E-18  6.84E-18
1810.09   6.84E-18  6.84E-18
1811.09   6.84E-18  6.84E-18
1812.09   6.84E-18  6.84E-18
1813.09   6.84E-18  6.84E-18
1814.09   6.84E-18  6.84E-18
1815.09   6.85E-18  6.85E-18
1816.09   6.85E-18  6.85E-18
1817.09   6.85E-18  6.85E-18
1818.09   6.85E-18  6.85E-18
1819.09   6.85E-18  6.85E-18
1820.09   6.85E-18  6.85E-18
1821.09   6.85E-18  6.85E-18
1822.09   6.85E-18  6.85E-18
1823.09   6.85E-18  6.85E-18
1824.09   6.86E-18  6.86E-18
1825.09   6.86E-18  6.86E-18
1826.09   6.86E-18  6.86E-18
1827.09   6.86E-18  6.86E-18
1828.09   6.86E-18  6.86E-18
