0 Branching ratio for HCN     Total         1 branches
Lambda         Total      CN/H
1478.04   4.99421E-19   4.99421E-19
1479.04   4.71145E-19   4.71145E-19
1480.04   4.47531E-19   4.47531E-19
1481.04   5.35817E-19   5.35817E-19
1482.04   6.24103E-19   6.24103E-19
1483.04   7.12389E-19   7.12389E-19
1484.04   2.24889E-18   2.24889E-18
1485.04   2.35733E-18   2.35733E-18
1486.04   1.09585E-18   1.09585E-18
1487.04   7.83431E-19   7.83431E-19
1488.04   6.01892E-19   6.01892E-19
1489.04   4.34618E-19   4.34618E-19
1490.04   3.42044E-19   3.42044E-19
1491.04   2.63526E-19   2.63526E-19
1492.04   1.9477E-19   1.9477E-19
1493.04   1.85982E-19   1.85982E-19
1494.04   1.77194E-19   1.77194E-19
1495.04   1.68406E-19   1.68406E-19
1496.04   2.2412E-19   2.2412E-19
1497.04   2.9212E-19   2.9212E-19
1498.04   3.6012E-19   3.6012E-19
1499.04   4.03954E-19   4.03954E-19
1500.04   4.43185E-19   4.43185E-19
1501.04   5.69218E-19   5.69218E-19
1502.04   9.73309E-19   9.73309E-19
1503.04   1.354E-18   1.354E-18
1504.04   8.06171E-19   8.06171E-19
1505.04   5.81886E-19   5.81886E-19
1506.05   3.82808E-19   3.82808E-19
1507.05   3.41526E-19   3.41526E-19
1508.05   3.00244E-19   3.00244E-19
1509.05   2.58962E-19   2.58962E-19
1510.05   2.2468E-19   2.2468E-19
1511.05   2.11398E-19   2.11398E-19
1512.05   1.98117E-19   1.98117E-19
1513.05   1.84836E-19   1.84836E-19
1514.05   1.71555E-19   1.71555E-19
1515.05   1.58273E-19   1.58273E-19
1516.05   1.44992E-19   1.44992E-19
1517.05   1.46469E-19   1.46469E-19
1518.05   1.50551E-19   1.50551E-19
1519.05   1.54633E-19   1.54633E-19
1520.05   1.58714E-19   1.58714E-19
1521.05   1.62796E-19   1.62796E-19
1522.05   3.0056E-19   3.0056E-19
1523.05   4.4536E-19   4.4536E-19
1524.05   5.0875E-19   5.0875E-19
1525.05   3.65179E-19   3.65179E-19
1526.05   2.21607E-19   2.21607E-19
1527.05   1.658E-19   1.658E-19
1528.05   1.80078E-19   1.80078E-19
1529.05   1.61633E-19   1.61633E-19
1530.05   1.43189E-19   1.43189E-19
1531.05   1.24744E-19   1.24744E-19
1532.05   1.063E-19   1.063E-19
1533.05   9.87064E-20   9.87064E-20
1534.05   9.99908E-20   9.99908E-20
1535.05   1.01275E-19   1.01275E-19
1536.05   1.0256E-19   1.0256E-19
1537.05   1.03844E-19   1.03844E-19
1538.05   1.05128E-19   1.05128E-19
1539.05   1.06413E-19   1.06413E-19
1540.05   1.07697E-19   1.07697E-19
1541.05   1.08982E-19   1.08982E-19
1542.05   1.10266E-19   1.10266E-19
1543.05   1.1155E-19   1.1155E-19
1544.05   0   0
1545.05   0   0
1546.05   0   0
1547.05   0   0
1548.05   0   0
1549.05   0   0
1550.05   0   0
1551.05   0   0
1552.05   0   0
1553.05   0   0
1554.05   0   0
1555.05   0   0
1556.05   0   0
1557.05   0   0
1558.05   0   0
1559.05   0   0
1560.05   0   0
1561.05   0   0
1562.05   0   0
1563.05   0   0
1564.05   0   0
1565.05   0   0
1566.05   0   0
1567.05   0   0
1568.05   0   0
1569.05   0   0
1570.05   0   0
1571.05   0   0
1572.05   0   0
1573.05   0   0
1574.06   0   0
1575.06   0   0
1576.06   0   0
1577.06   0   0
1578.06   0   0
1579.06   0   0
1580.06   0   0
1581.06   0   0
1582.06   0   0
1583.06   0   0
1584.06   0   0
1585.06   0   0
1586.06   0   0
1587.06   0   0
1588.06   0   0
1589.06   0   0
1590.06   0   0
1591.06   0   0
1592.06   0   0
1593.06   0   0
1594.06   0   0
1595.06   0   0
1596.06   0   0
1597.06   0   0
1598.06   0   0
1599.06   0   0
1600.06   0   0
1601.06   0   0
1602.06   0   0
1603.06   0   0
1604.06   0   0
1605.06   0   0
1606.06   0   0
1607.06   0   0
1608.06   0   0
1609.06   0   0
1610.06   0   0
1611.06   0   0
1612.06   0   0
1613.06   0   0
1614.06   0   0
1615.06   0   0
1616.06   0   0
1617.06   0   0
1618.06   0   0
1619.06   0   0
1620.06   0   0
1621.06   0   0
1622.06   0   0
1623.06   0   0
1624.06   0   0
1625.06   0   0
1626.06   0   0
1627.06   0   0
1628.06   0   0
1629.06   0   0
1630.06   0   0
1631.06   0   0
1632.06   0   0
1633.06   0   0
1634.06   0   0
1635.06   0   0
1636.06   0   0
1637.06   0   0
1638.06   0   0
1639.06   0   0
1640.06   0   0
1641.06   0   0
1642.07   0   0
1643.07   0   0
1644.07   0   0
1645.07   0   0
1646.07   0   0
1647.07   0   0
1648.07   0   0
1649.07   0   0
1650.07   0   0
1651.07   0   0
1652.07   0   0
1653.07   0   0
1654.07   0   0
1655.07   0   0
1656.07   0   0
1657.07   0   0
1658.07   0   0
1659.07   0   0
1660.07   0   0
1661.07   0   0
1662.07   0   0
1663.07   0   0
1664.07   0   0
1665.07   0   0
1666.07   0   0
1667.07   0   0
1668.07   0   0
1669.07   0   0
1670.07   0   0
1671.07   0   0
1672.07   0   0
1673.07   0   0
1674.07   0   0
1675.07   0   0
1676.07   0   0
1677.07   0   0
1678.07   0   0
1679.07   0   0
1680.07   0   0
1681.07   0   0
1682.07   0   0
1683.07   0   0
1684.07   0   0
1685.07   0   0
1686.07   0   0
1687.07   0   0
1688.07   0   0
1689.07   0   0
1690.07   0   0
1691.07   0   0
1692.07   0   0
1693.07   0   0
1694.07   0   0
1695.07   0   0
1696.07   0   0
1697.07   0   0
1698.07   0   0
1699.07   0   0
1700.07   0   0
1701.07   0   0
1702.07   0   0
1703.07   0   0
1704.07   0   0
1705.07   0   0
1706.07   0   0
1707.07   0   0
1708.07   0   0
1709.07   0   0
1710.08   0   0
1711.08   0   0
1712.08   0   0
1713.08   0   0
1714.08   0   0
1715.08   0   0
1716.08   0   0
1717.08   0   0
1718.08   0   0
1719.08   0   0
1720.08   0   0
1721.08   0   0
1722.08   0   0
1723.08   0   0
1724.08   0   0
1725.08   0   0
1726.08   0   0
1727.08   0   0
1728.08   0   0
1729.08   0   0
1730.08   0   0
1731.08   0   0
1732.08   0   0
1733.08   0   0
1734.08   0   0
1735.08   0   0
1736.08   0   0
1737.08   0   0
1738.08   0   0
1739.08   0   0
1740.08   0   0
1741.08   0   0
1742.08   0   0
1743.08   0   0
1744.08   0   0
1745.08   0   0
1746.08   0   0
1747.08   0   0
1748.08   0   0
1749.08   0   0
1750.08   0   0
1751.08   0   0
1752.08   0   0
1753.08   0   0
1754.08   0   0
1755.08   0   0
1756.08   0   0
1757.08   0   0
1758.08   0   0
1759.08   0   0
1760.08   0   0
1761.08   0   0
1762.08   0   0
1763.08   0   0
1764.08   0   0
1765.08   0   0
1766.08   0   0
1767.08   0   0
1768.08   0   0
1769.08   0   0
1770.08   0   0
1771.08   0   0
1772.08   0   0
1773.08   0   0
1774.08   0   0
1775.08   0   0
1776.08   0   0
1777.08   0   0
1778.09   0   0
1779.09   0   0
1780.09   0   0
1781.09   0   0
1782.09   0   0
1783.09   0   0
1784.09   0   0
1785.09   0   0
1786.09   0   0
1787.09   0   0
1788.09   0   0
1789.09   0   0
1790.09   0   0
1791.09   0   0
1792.09   0   0
1793.09   0   0
1794.09   0   0
1795.09   0   0
1796.09   0   0
1797.09   0   0
1798.09   0   0
1799.09   0   0
1800.09   0   0
1801.09   0   0
1802.09   0   0
1803.09   0   0
1804.09   0   0
1805.09   0   0
1806.09   0   0
1807.09   0   0
1808.09   0   0
1809.09   0   0
1810.09   0   0
1811.09   0   0
1812.09   0   0
1813.09   0   0
1814.09   0   0
1815.09   0   0
1816.09   0   0
1817.09   0   0
1818.09   0   0
1819.09   0   0
1820.09   0   0
1821.09   0   0
1822.09   0   0
1823.09   0   0
1824.09   0   0
1825.09   0   0
1826.09   0   0
1827.09   0   0
1828.09   0   0
1829.09   0   0
1830.09   0   0
1831.09   0   0
1832.09   0   0
1833.09   0   0
1834.09   0   0
1835.09   0   0
1836.09   0   0
1837.09   0   0
1838.09   0   0
1839.09   0   0
1840.09   0   0
1841.09   0   0
1842.09   0   0
1843.09   0   0
1844.09   0   0
1845.09   0   0
