0 Branching ratio for O3      Total        2 branches
Lambda        Total        O2/O(1D)      O2/O
1609.06   1.12E-18  4.98E-20  1.07E-18
1610.06   1.11E-18  5.10E-20  1.06E-18
1611.06   1.11E-18  5.21E-20  1.05E-18
1612.06   1.10E-18  5.32E-20  1.04E-18
1613.06   1.09E-18  5.43E-20  1.03E-18
1614.06   1.08E-18  5.53E-20  1.02E-18
1615.06   1.07E-18  5.64E-20  1.01E-18
1616.06   1.06E-18  5.74E-20  1.00E-18
1617.06   1.05E-18  5.83E-20  9.95E-19
1618.06   1.05E-18  5.93E-20  9.86E-19
1619.06   1.04E-18  6.02E-20  9.76E-19
1620.06   1.03E-18  6.11E-20  9.67E-19
1621.06   1.02E-18  6.20E-20  9.57E-19
1622.06   1.01E-18  6.29E-20  9.48E-19
1623.06   1.00E-18  6.37E-20  9.38E-19
1624.06   9.94E-19  6.46E-20  9.29E-19
1625.06   9.85E-19  6.53E-20  9.20E-19
1626.06   9.77E-19  6.61E-20  9.11E-19
1627.06   9.73E-19  6.72E-20  9.05E-19
1628.06   9.69E-19  6.82E-20  9.00E-19
1629.06   9.64E-19  6.93E-20  8.95E-19
1630.06   9.60E-19  7.03E-20  8.90E-19
1631.06   9.56E-19  7.13E-20  8.85E-19
1632.06   9.52E-19  7.23E-20  8.80E-19
1633.06   9.48E-19  7.33E-20  8.75E-19
1634.06   9.44E-19  7.43E-20  8.70E-19
1635.06   9.40E-19  7.52E-20  8.65E-19
1636.06   9.36E-19  7.62E-20  8.59E-19
1637.06   9.32E-19  7.71E-20  8.54E-19
1638.06   9.27E-19  7.80E-20  8.49E-19
1639.06   9.23E-19  7.90E-20  8.44E-19
1640.06   9.19E-19  7.99E-20  8.39E-19
1641.06   9.15E-19  8.08E-20  8.34E-19
1642.07   9.11E-19  8.16E-20  8.29E-19
1643.07   9.07E-19  8.25E-20  8.24E-19
1644.07   9.03E-19  8.34E-20  8.19E-19
1645.07   8.99E-19  8.42E-20  8.14E-19
1646.07   8.95E-19  8.51E-20  8.09E-19
1647.07   8.90E-19  8.59E-20  8.04E-19
1648.07   8.86E-19  8.67E-20  8.00E-19
1649.07   8.82E-19  8.75E-20  7.95E-19
1650.07   8.78E-19  8.83E-20  7.90E-19
1651.07   8.74E-19  8.91E-20  7.85E-19
1652.07   8.70E-19  8.99E-20  7.80E-19
1653.07   8.66E-19  9.07E-20  7.75E-19
1654.07   8.64E-19  9.16E-20  7.72E-19
1655.07   8.62E-19  9.26E-20  7.70E-19
1656.07   8.60E-19  9.36E-20  7.67E-19
1657.07   8.58E-19  9.46E-20  7.64E-19
1658.07   8.57E-19  9.56E-20  7.61E-19
1659.07   8.55E-19  9.65E-20  7.58E-19
1660.07   8.53E-19  9.75E-20  7.55E-19
1661.07   8.51E-19  9.84E-20  7.53E-19
1662.07   8.49E-19  9.94E-20  7.50E-19
1663.07   8.47E-19  1.00E-19  7.47E-19
1664.07   8.45E-19  1.01E-19  7.44E-19
1665.07   8.44E-19  1.02E-19  7.41E-19
1666.07   8.42E-19  1.03E-19  7.39E-19
1667.07   8.40E-19  1.04E-19  7.36E-19
1668.07   8.38E-19  1.05E-19  7.33E-19
1669.07   8.36E-19  1.06E-19  7.30E-19
1670.07   8.34E-19  1.07E-19  7.28E-19
1671.07   8.32E-19  1.08E-19  7.25E-19
1672.07   8.31E-19  1.09E-19  7.22E-19
1673.07   8.29E-19  1.09E-19  7.19E-19
1674.07   8.27E-19  1.10E-19  7.17E-19
1675.07   8.25E-19  1.11E-19  7.14E-19
1676.07   8.23E-19  1.12E-19  7.11E-19
1677.07   8.21E-19  1.13E-19  7.08E-19
1678.07   8.19E-19  1.14E-19  7.06E-19
1679.07   8.18E-19  1.15E-19  7.03E-19
1680.07   8.16E-19  1.16E-19  7.00E-19
1681.07   8.14E-19  1.16E-19  6.98E-19
1682.07   8.14E-19  1.18E-19  6.97E-19
1683.07   8.14E-19  1.19E-19  6.95E-19
1684.07   8.14E-19  1.20E-19  6.94E-19
1685.07   8.14E-19  1.21E-19  6.93E-19
1686.07   8.15E-19  1.22E-19  6.92E-19
1687.07   8.15E-19  1.23E-19  6.91E-19
1688.07   8.15E-19  1.24E-19  6.90E-19
1689.07   8.15E-19  1.26E-19  6.89E-19
1690.07   8.15E-19  1.27E-19  6.88E-19
1691.07   8.15E-19  1.28E-19  6.87E-19
1692.07   8.15E-19  1.29E-19  6.86E-19
1693.07   8.15E-19  1.30E-19  6.85E-19
1694.07   8.15E-19  1.31E-19  6.84E-19
1695.07   8.15E-19  1.32E-19  6.83E-19
1696.07   8.16E-19  1.33E-19  6.82E-19
1697.07   8.16E-19  1.35E-19  6.81E-19
1698.07   8.16E-19  1.36E-19  6.80E-19
1699.07   8.16E-19  1.37E-19  6.79E-19
1700.07   8.16E-19  1.38E-19  6.78E-19
1701.07   8.16E-19  1.39E-19  6.77E-19
1702.07   8.16E-19  1.40E-19  6.76E-19
1703.07   8.16E-19  1.41E-19  6.75E-19
1704.07   8.16E-19  1.43E-19  6.74E-19
1705.07   8.17E-19  1.44E-19  6.73E-19
1706.07   8.17E-19  1.45E-19  6.72E-19
1707.07   8.17E-19  1.46E-19  6.71E-19
1708.07   8.17E-19  1.47E-19  6.70E-19
1709.07   8.17E-19  1.48E-19  6.69E-19
1710.08   8.18E-19  1.50E-19  6.69E-19
1711.08   8.20E-19  1.51E-19  6.69E-19
1712.08   8.22E-19  1.52E-19  6.69E-19
1713.08   8.24E-19  1.54E-19  6.70E-19
1714.08   8.25E-19  1.55E-19  6.70E-19
1715.08   8.27E-19  1.57E-19  6.70E-19
1716.08   8.29E-19  1.58E-19  6.71E-19
1717.08   8.31E-19  1.60E-19  6.71E-19
1718.08   8.33E-19  1.61E-19  6.71E-19
1719.08   8.34E-19  1.63E-19  6.72E-19
1720.08   8.36E-19  1.64E-19  6.72E-19
1721.08   8.38E-19  1.66E-19  6.72E-19
1722.08   8.40E-19  1.67E-19  6.73E-19
1723.08   8.42E-19  1.69E-19  6.73E-19
1724.08   8.44E-19  1.70E-19  6.73E-19
1725.08   8.45E-19  1.72E-19  6.73E-19
1726.08   8.47E-19  1.73E-19  6.74E-19
1727.08   8.49E-19  1.75E-19  6.74E-19
1728.08   8.51E-19  1.77E-19  6.74E-19
1729.08   8.53E-19  1.78E-19  6.75E-19
1730.08   8.54E-19  1.80E-19  6.75E-19
