0 Branching ratio for CHO      Total        1 branches
Lambda        Total        H/CO
1715.08      0.00E+00      0.00E+00
1716.08      0.00E+00      0.00E+00
1717.08      0.00E+00      0.00E+00
1718.08      0.00E+00      0.00E+00
1719.08      0.00E+00      0.00E+00
1720.08      0.00E+00      0.00E+00
1721.08      0.00E+00      0.00E+00
1722.08      0.00E+00      0.00E+00
1723.08      0.00E+00      0.00E+00
1724.08      0.00E+00      0.00E+00
1725.08      0.00E+00      0.00E+00
1726.08      0.00E+00      0.00E+00
1727.08      0.00E+00      0.00E+00
1728.08      0.00E+00      0.00E+00
1729.08      0.00E+00      0.00E+00
1730.08      0.00E+00      0.00E+00
1731.08      0.00E+00      0.00E+00
1732.08      0.00E+00      0.00E+00
1733.08      0.00E+00      0.00E+00
1734.08      0.00E+00      0.00E+00
1735.08      0.00E+00      0.00E+00
1736.08      0.00E+00      0.00E+00
1737.08      0.00E+00      0.00E+00
1738.08      0.00E+00      0.00E+00
1739.08      0.00E+00      0.00E+00
1740.08      0.00E+00      0.00E+00
1741.08      0.00E+00      0.00E+00
1742.08      0.00E+00      0.00E+00
1743.08      0.00E+00      0.00E+00
1744.08      0.00E+00      0.00E+00
1745.08      0.00E+00      0.00E+00
1746.08      0.00E+00      0.00E+00
1747.08      0.00E+00      0.00E+00
1748.08      0.00E+00      0.00E+00
1749.08      0.00E+00      0.00E+00
1750.08      0.00E+00      0.00E+00
1751.08      0.00E+00      0.00E+00
1752.08      0.00E+00      0.00E+00
1753.08      0.00E+00      0.00E+00
1754.08      0.00E+00      0.00E+00
1755.08      0.00E+00      0.00E+00
1756.08      0.00E+00      0.00E+00
1757.08      0.00E+00      0.00E+00
1758.08      0.00E+00      0.00E+00
1759.08      0.00E+00      0.00E+00
1760.08      0.00E+00      0.00E+00
1761.08      0.00E+00      0.00E+00
1762.08      0.00E+00      0.00E+00
1763.08      0.00E+00      0.00E+00
1764.08      0.00E+00      0.00E+00
1765.08      0.00E+00      0.00E+00
1766.08      0.00E+00      0.00E+00
1767.08      0.00E+00      0.00E+00
1768.08      0.00E+00      0.00E+00
1769.08      0.00E+00      0.00E+00
1770.08      0.00E+00      0.00E+00
1771.08      0.00E+00      0.00E+00
1772.08      0.00E+00      0.00E+00
1773.08      0.00E+00      0.00E+00
1774.08      0.00E+00      0.00E+00
1775.08      0.00E+00      0.00E+00
1776.08      0.00E+00      0.00E+00
1777.08      0.00E+00      0.00E+00
1778.09      0.00E+00      0.00E+00
1779.09      0.00E+00      0.00E+00
1780.09      0.00E+00      0.00E+00
1781.09      0.00E+00      0.00E+00
1782.09      0.00E+00      0.00E+00
1783.09      0.00E+00      0.00E+00
1784.09      0.00E+00      0.00E+00
1785.09      0.00E+00      0.00E+00
1786.09      0.00E+00      0.00E+00
1787.09      0.00E+00      0.00E+00
1788.09      0.00E+00      0.00E+00
1789.09      0.00E+00      0.00E+00
1790.09      0.00E+00      0.00E+00
1791.09      0.00E+00      0.00E+00
1792.09      0.00E+00      0.00E+00
